ID,TIME,MAG,PARENT
1,0.575182,0.00558775,0
2,1.80485,0.00196804,0
3,4.12858,0.393608,0
4,5.32159,0.779801,0
5,5.32159,0.220197,4
6,5.32159,0.215317,4
7,5.45735,0.0620261,0
8,6.24809,0.57431,0
9,8.18361,0.00846952,0
10,8.19694,0.41513,9
11,8.80466,0.605835,0
12,9.63657,0.398071,0
13,10.6094,0.371945,0
14,10.6959,0.153148,0
15,12.1517,0.370033,0
16,13.1021,0.948944,0
17,13.1021,0.600919,16
18,13.2879,0.0181912,0
19,13.843,0.62219,0
20,13.8432,0.116084,19
21,15.2785,0.287019,0
22,15.4054,0.128088,0
23,15.7728,0.0302287,0
24,17.3147,0.139244,0
25,17.8442,0.123285,0
26,18.0831,0.392573,0
27,18.1104,0.100803,0
28,18.3918,0.348079,0
29,18.5354,0.366133,0
30,18.9167,0.0738929,0
31,19.1398,0.663244,0
32,19.344,0.0383839,0
33,19.4325,0.0123779,0
34,19.4887,0.394435,0
35,19.4887,0.269427,34
36,20.901,0.095948,0
37,20.901,2.77953,36
38,20.901,0.2709,37
39,20.901,0.694215,37
40,20.901,0.0579065,37
41,20.901,0.61626,37
42,20.901,0.630763,37
43,20.901,0.965888,37
44,20.901,0.382951,37
45,20.901,0.707223,37
46,20.901,0.224117,45
47,20.901,0.268402,37
48,20.901,0.0209751,37
49,20.901,0.0346951,37
50,20.901,0.893165,37
51,20.901,0.0205713,47
52,20.901,0.103484,37
53,20.901,0.538258,45
54,20.901,1.39663,37
55,20.901,0.167236,37
56,20.901,0.52974,37
57,20.901,0.47025,54
58,20.901,0.0839008,54
59,20.901,0.683306,41
60,20.901,0.0729401,37
61,20.901,0.172895,42
62,20.901,0.211024,37
63,20.901,0.691554,54
64,20.901,0.166645,37
65,20.901,0.101605,37
66,20.901,0.270474,37
67,20.901,0.126749,37
68,20.9013,0.127318,37
69,20.9014,0.00871273,37
70,20.9017,0.263291,37
71,20.9048,0.332479,37
72,20.9061,0.148424,37
73,20.9072,0.202553,37
74,20.9116,0.193503,45
75,21.0003,0.0110791,37
76,21.0345,0.360694,37
77,21.076,0.456437,37
78,21.1252,0.174441,37
79,21.1285,0.618609,37
80,21.1285,0.319475,79
81,21.1298,0.157787,79
82,23.5295,0.175395,0
83,23.9026,0.113026,37
84,24.1464,1.34411,0
85,24.1469,0.528336,84
86,24.1469,0.234959,85
87,26.3365,0.287353,0
88,26.4623,0.447362,0
89,28.2714,0.1199,0
90,28.6528,0.301145,0
91,29.9185,0.317494,0
92,33.5463,0.0125282,0
93,35.5918,0.365188,0
94,38.2598,0.406926,0
95,38.4929,0.0981831,0
96,40.4261,0.1666,0
97,40.9655,0.115079,0
98,41.2011,0.806874,0
99,41.3747,0.94278,0
100,41.3759,0.144295,99
101,42.2997,0.487379,0
102,42.3001,0.300829,101
103,43.1136,1.96833,0
104,43.1136,1.33225,103
105,43.1136,0.526838,104
106,43.1136,0.471064,103
107,43.1136,0.32028,103
108,43.1136,1.52496,103
109,43.1136,0.513551,108
110,43.1136,0.194616,108
111,43.1136,1.44327,108
112,43.1136,0.0789212,103
113,43.1136,0.231062,104
114,43.1136,0.052317,108
115,43.1142,0.447803,104
116,43.117,0.341277,111
117,43.1772,0.449498,0
118,43.1772,0.048671,117
119,43.1821,0.334146,0
120,44.2155,1.54974,0
121,44.2155,0.293444,120
122,45.3782,0.834795,0
123,45.6436,0.257673,0
124,46.2786,1.17735,0
125,46.2786,0.211412,124
126,46.3632,0.204403,0
127,46.5073,0.356431,0
128,46.5074,0.143894,127
129,46.5075,0.0296373,128
130,47.5985,0.38423,0
131,50.9933,0.513255,0
132,50.9933,0.0461248,131
133,52.5464,0.0178218,0
134,54.4405,0.13639,0
135,54.5636,0.127506,0
136,55.3678,0.00866248,0
137,55.8065,0.239494,0
138,58.5138,0.392413,0
139,58.755,0.535228,0
140,60.7284,0.306259,0
141,61.2217,0.970309,0
142,61.2217,0.907526,141
143,61.2224,0.951733,141
144,61.2224,0.547113,143
145,62.0149,0.109682,111
146,62.9993,0.047689,0
147,67.2338,0.239788,0
148,68.1616,0.0494583,0
149,69.3858,0.912083,0
150,69.8401,0.137038,0
151,70.5688,1.86751,0
152,70.5688,1.0699,151
153,70.5688,0.0336216,151
154,70.7623,0.14438,0
155,70.7837,0.589941,154
156,71.423,1.10002,0
157,71.6966,0.561854,0
158,71.7193,0.0170483,0
159,72.177,0.576196,0
160,72.177,0.401689,159
161,72.4755,0.071392,0
162,72.4755,0.124322,161
163,72.4755,0.0456716,161
164,72.9453,0.435267,0
165,73.6771,0.190363,0
166,74.7525,1.05604,0
167,74.9333,0.105572,0
168,74.9346,0.0130554,167
169,77.1181,0.0545628,0
170,77.6592,0.614634,0
171,80.2605,0.470038,0
